variant_key,start_date,end_date,taxonomy_v4,btc_allocation,cash_allocation,allocation_posture,confidence,ml_probability,risk_score,explanation
C_Trend_Preserving_v2,2026-05-31,2026-06-04,Constructive Drift,90.0,10.0,Full risk-on,0.2946128471807154,0.5288445066982769,0.0,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence is low at 29.46%, applying a -5.0 percentage point confidence adjustment. ML probability at 52.88% does not trigger an extra allocation change. Astro momentum is supportive at 1.65, applying a +5.0 point momentum adjustment. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-06-05,2026-07-04,High Conviction Expansion,100.0,0.0,Full risk-on,0.4010953918067847,0.6124937382406429,0.1333333333333333,"Base BTC allocation starts at 100.0% from the `High Conviction Expansion` rule. Confidence at 40.11% sits in the neutral adjustment band. ML probability is bullish at 61.25%, applying a +5.0 percentage point ML adjustment. Astro momentum is neutral-to-positive at 1.24, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-07-05,2026-07-14,Constructive Drift,85.0,15.0,Aggressive risk-on,0.2700484756640656,0.4584276100126921,0.15,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence is low at 27.00%, applying a -5.0 percentage point confidence adjustment. ML probability at 45.84% does not trigger an extra allocation change. Astro momentum is neutral-to-positive at 0.62, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-07-15,2026-07-31,Recovery / Reversal Setup,70.0,30.0,Measured risk-on,0.3805683042911,0.3448980321170745,0.5588235294117647,"Base BTC allocation starts at 75.0% from the `Recovery / Reversal Setup` rule. Confidence at 38.06% sits in the neutral adjustment band. ML probability is weak at 34.49%, applying a -5.0 percentage point ML adjustment. Astro momentum is neutral-to-positive at 0.05, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied. Risk level is Medium, so BTC allocation is capped at 70.0%."
C_Trend_Preserving_v2,2026-08-01,2026-08-19,Constructive Drift,85.0,15.0,Aggressive risk-on,0.2771938732793727,0.5350015293610205,0.1842105263157894,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence is low at 27.72%, applying a -5.0 percentage point confidence adjustment. ML probability at 53.50% does not trigger an extra allocation change. Astro momentum is neutral-to-positive at 0.32, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-08-20,2026-09-27,Transition / Low Conviction,60.0,40.0,Measured risk-on,0.4011838973974054,0.5983071018598617,0.282051282051282,"Base BTC allocation starts at 60.0% from the `Transition / Low Conviction` rule. Confidence at 40.12% sits in the neutral adjustment band. ML probability at 59.83% does not trigger an extra allocation change. Astro momentum is neutral-to-positive at 0.03, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-09-28,2026-10-02,Constructive Drift,70.0,30.0,Measured risk-on,0.3760236188139446,0.5678010048353761,0.4,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence at 37.60% sits in the neutral adjustment band. ML probability at 56.78% does not trigger an extra allocation change. Astro momentum is neutral-to-positive at 0.42, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied. Risk level is Medium, so BTC allocation is capped at 70.0%."
C_Trend_Preserving_v2,2026-10-03,2026-10-12,Transition / Low Conviction,60.0,40.0,Measured risk-on,0.3942280595897299,0.5812406874145594,0.45,"Base BTC allocation starts at 60.0% from the `Transition / Low Conviction` rule. Confidence at 39.42% sits in the neutral adjustment band. ML probability at 58.12% does not trigger an extra allocation change. Astro momentum is neutral-to-positive at 0.52, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied. Risk level is Medium, so BTC allocation is capped at 70.0%."
C_Trend_Preserving_v2,2026-10-13,2026-11-14,Constructive Drift,70.0,30.0,Measured risk-on,0.3129660543423301,0.4996439747852414,0.696969696969697,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence at 31.30% sits in the neutral adjustment band. ML probability at 49.96% does not trigger an extra allocation change. Astro momentum is supportive at 2.02, applying a +5.0 point momentum adjustment. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied. Risk level is Medium, so BTC allocation is capped at 70.0%."
C_Trend_Preserving_v2,2026-11-15,2026-11-22,Volatility Caution,5.0,95.0,Defensive exposure,0.3995969753095416,0.4237595165873582,1.0,"Base BTC allocation starts at 10.0% from the `Volatility Caution` rule. Confidence at 39.96% sits in the neutral adjustment band. ML probability is weak at 42.38%, applying a -5.0 percentage point ML adjustment. Astro momentum is neutral-to-positive at 0.28, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied. Risk level is High, so BTC allocation is capped at 35.0%."
C_Trend_Preserving_v2,2026-11-23,2026-12-12,Constructive Drift,90.0,10.0,Full risk-on,0.3374921178077709,0.5004525797637425,0.1,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence at 33.75% sits in the neutral adjustment band. ML probability at 50.05% does not trigger an extra allocation change. Astro momentum is neutral-to-positive at 1.13, so no momentum adjustment was applied. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-12-13,2026-12-13,Constructive Drift,95.0,5.0,Full risk-on,0.384772656178461,0.5715908396708752,0.0,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence at 38.48% sits in the neutral adjustment band. ML probability at 57.16% does not trigger an extra allocation change. Astro momentum is supportive at 1.53, applying a +5.0 point momentum adjustment. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-12-14,2026-12-14,Constructive Drift,95.0,5.0,Full risk-on,0.3822541682318452,0.5690004660629036,0.0,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence at 38.23% sits in the neutral adjustment band. ML probability at 56.90% does not trigger an extra allocation change. Astro momentum is supportive at 1.56, applying a +5.0 point momentum adjustment. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
C_Trend_Preserving_v2,2026-12-15,2026-12-15,Constructive Drift,95.0,5.0,Full risk-on,0.3823819845606367,0.5703614095301367,0.0,"Base BTC allocation starts at 90.0% from the `Constructive Drift` rule. Confidence at 38.24% sits in the neutral adjustment band. ML probability at 57.04% does not trigger an extra allocation change. Astro momentum is supportive at 1.58, applying a +5.0 point momentum adjustment. The 30D, 90D, and 365D outlooks do not fully align positively, so no alignment bonus was applied."
