feature,in_ml_dataset,in_selected_features,is_numeric,is_valid_model_feature,is_broad_astro_feature,covered_by_current_importance_mapping,mapping_gap,primary_category,planet,aspect,natal_target,is_house_feature,exclusion_reason,recommended_mapping_fix
astro_bearish_score_chg_10,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_chg_21,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_chg_3,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_chg_30,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_ema_60,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_roll_min_21,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_roll_min_30,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_roll_min_5,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_sma_60,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_chg_21,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_chg_30,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_chg_5,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_ema_30,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_ema_60,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_roll_max_30,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_roll_min_10,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_roll_min_21,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_roll_min_30,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_sma_30,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bearish_score_smooth_sma_60,True,True,True,True,True,True,False,composite_astro_score,,,bearish,False,,covered_by_current_mapping
astro_bullish_score,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_chg_3,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_chg_30,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_ema_3,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_ema_5,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_ema_60,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_roll_max_10,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_roll_max_21,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_roll_max_30,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_roll_max_5,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_roll_min_21,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_roll_min_3,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_roll_min_30,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_sma_3,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_sma_5,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_sma_60,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth_chg_21,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth_chg_30,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth_ema_3,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth_ema_5,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth_ema_60,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth_roll_max_21,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
astro_bullish_score_smooth_roll_max_3,True,True,True,True,True,True,False,composite_astro_score,,,bullish,False,,covered_by_current_mapping
