feature,selected_feature,exists_in_dataset,planet,aspect,natal_target,house,score_category,feature_set,mean_importance,std_importance,max_importance,min_importance,total_importance,horizons,observations,importance_share,astro_feature_rank
planet_trend_start_Pluto,True,True,pluto,none,trend_start,none,planet_component,selected_features,0.013970423536611716,0.0042566387483893185,0.0203875260807076,0.0105412800564338,0.0838225412196703,6,6,0.015927155596395404,1
planet_reversal_Pluto,True,True,pluto,none,reversal,none,planet_component,selected_features,0.011657689287890932,0.002850302892977044,0.0156436725967102,0.0091339100193211,0.06994613572734559,6,6,0.013290494070998134,2
astro_trend_start_score_roll_max_21,True,True,composite,none,trend_start,none,rolling_max,selected_features,0.011464796831923732,0.005063579650498688,0.0208443223874459,0.0068721484912879,0.0687887809915424,6,6,0.013070584620757834,3
astro_bearish_score_smooth_roll_min_30,True,True,composite,none,bearish,none,smoothed_score,selected_features,0.010738196978279333,0.0031760071742351565,0.0130944724659029,0.0054632475969427,0.064429181869676,6,6,0.012242215395230457,4
astro_trend_start_score_roll_max_30,True,True,composite,none,trend_start,none,rolling_max,selected_features,0.010717691316506933,0.003997993381378641,0.015252087207432,0.0049580846631341,0.0643061478990416,6,6,0.01221883765977382,5
astro_bearish_score_smooth_ema_60,True,True,composite,none,bearish,none,smoothed_score,selected_features,0.01011971017912895,0.004548533054806168,0.0159326458001885,0.0062386919281859,0.0607182610747737,6,6,0.01153710180589873,6
astro_trend_end_score_sma_60,True,True,composite,none,trend_end,none,sma_transform,selected_features,0.009945115135586916,0.0031315310373396343,0.0131580643217993,0.0060868824811072,0.0596706908135215,6,6,0.011338052548904779,7
astro_bearish_score_smooth_sma_60,True,True,composite,none,bearish,none,smoothed_score,selected_features,0.009465333658838134,0.0024787256532227057,0.0133070520155668,0.006979729069421,0.0567920019530288,6,6,0.010791071692353056,8
astro_bearish_score_ema_60,True,True,composite,none,bearish,none,ema_transform,selected_features,0.009291960872970167,0.0036790314033779063,0.0148651159271358,0.006047452132181,0.055751765237821,6,6,0.0105934158854648,9
astro_bullish_score_smooth_roll_max_30,True,True,composite,none,bullish,none,smoothed_score,selected_features,0.009070809812303368,0.006168299234656462,0.0197832570738443,0.0034935563229027,0.0544248588738202,6,6,0.010341289860486587,10
astro_reversal_score_sma_60,True,True,composite,none,reversal,none,sma_transform,selected_features,0.008912747315571084,0.0023984233273189838,0.0119194367717676,0.0059012961132297,0.0534764838934265,6,6,0.01016108873968217,11
astro_bearish_score_sma_60,True,True,composite,none,bearish,none,sma_transform,selected_features,0.008907844357842568,0.002525833519662345,0.012976589435637,0.0062434179370511,0.053447066147055404,6,6,0.010155499061572558,12
astro_reversal_score_roll_max_30,True,True,composite,none,reversal,none,rolling_max,selected_features,0.008851375301266366,0.00215090160246504,0.011716595576895,0.0065386363170675,0.0531082518075982,6,6,0.010091120809323168,13
astro_compression_score_sma_60,True,True,composite,none,compression,none,sma_transform,selected_features,0.008789932359238117,0.00369465067952477,0.0158455596527899,0.0061058696739683,0.0527395941554287,6,6,0.010021072016928317,14
astro_trend_start_score_roll_max_10,True,True,composite,none,trend_start,none,rolling_max,selected_features,0.00878531404109285,0.00437073469805383,0.0156905032536534,0.0039891572557043,0.0527118842465571,6,6,0.010015806845725702,15
astro_bearish_score_roll_min_30,True,True,composite,none,bearish,none,rolling_min,selected_features,0.008696929307010267,0.0032136452502127977,0.013316593142183,0.0045078411122953,0.0521815758420616,6,6,0.009915042727272873,16
astro_compression_score_ema_60,True,True,composite,none,compression,none,ema_transform,selected_features,0.008682950859430499,0.0027998293362204263,0.0140138541271275,0.0062053489968366,0.052097705156583,6,6,0.009899106423766,17
astro_bearish_score_smooth_roll_min_21,True,True,composite,none,bearish,none,smoothed_score,selected_features,0.008591767140003717,0.0028087449340446634,0.0125175354637268,0.0049236053204165,0.0515506028400223,6,6,0.009795151287161697,18
astro_bullish_score_roll_max_30,True,True,composite,none,bullish,none,rolling_max,selected_features,0.008490259520726334,0.005410944131056648,0.0173228354295828,0.0036889435607425,0.050941557124358,6,6,0.009679426259769818,19
astro_compression_score_ema_30,True,True,composite,none,compression,none,ema_transform,selected_features,0.008485702419327083,0.0021802615690211377,0.0109675259745921,0.0049961272772542,0.0509142145159625,6,6,0.009674230879482012,20
astro_trend_start_score_ema_30,True,True,composite,none,trend_start,none,ema_transform,selected_features,0.008446005732123266,0.002298188130478604,0.0114974437587239,0.0052513637715952,0.0506760343927396,6,6,0.009628974176125833,21
astro_reversal_score_ema_60,True,True,composite,none,reversal,none,ema_transform,selected_features,0.008439762486604517,0.0013244571329933624,0.0104820031443449,0.0068086020733131,0.0506385749196271,6,6,0.009621856486204476,22
