metric,defensive_weak_trend_mean,other_taxonomies_mean,delta
average_prior_return_7d,0.009248090048425956,0.01153075401453317,-0.002282663966107214
average_prior_return_14d,0.025541635129791025,0.02323950082486898,0.0023021343049220468
average_prior_return_30d,0.10875213332037753,0.050793542825832205,0.057958590494545326
average_prior_drawdown_30d,-0.05062343158280542,-0.0857696020196074,0.03514617043680198
average_astro_momentum,-0.1539711255306831,0.8740979103941405,-1.0280690359248237
average_momentum_slope_7d,0.2664993588992573,-0.003741393772813791,0.2702407526720711
average_ml_probability,0.28634146647819775,0.5114083632878708,-0.225066896809673
average_bullish_score,0.764610057142857,1.9061243650190114,-1.1415143078761543
average_bearish_score,0.8436438714285714,1.033007444106464,-0.1893635726778926
average_reversal_score,0.9042230142857142,1.9239512479087448,-1.0197282336230307
average_compression_score,0.5290772714285714,0.5704503152091254,-0.04137304378055395
average_volatility_score,1.0471580999999999,1.770175380988593,-0.7230172809885931
saturn_signal,,,
opposition_strength,,,
average_forward_return_30d,0.13616106200498426,0.050325142050317614,0.08583591995466665
average_forward_return_60d,0.3081975647330981,0.10989872715581504,0.19829883757728306
average_forward_return_90d,0.3198857288899002,0.18176002801893787,0.13812570087096232
