component_type,component_name,current_weight,current_weight_basis,discovered_weight,discovered_weight_delta,discovered_weight_ratio,confidence_score,recommendation,rank,mapped_feature_count,selected_feature_count,selected_support_ratio,importance_score,stability_score,predictive_contribution_score,predictive_consistency_score,evidence_score,bullish_contribution_score,bearish_contribution_score,reversal_contribution_score,volatility_contribution_score,mapped_features,selected_features
planet,Jupiter,77.395,active_rule_mass_proxy,120.11489931182757,42.719899311827575,1.5519723407432984,76.1,increase weight,1,8,3,0.375,0.7477513173783665,1.0,0.7440700952883043,0.6848581491489945,0.8097091214067562,0.8097091214067562,0.0,0.29200100170063714,0.18159769498154138,"jupiter_signal, planet_bearish_Jupiter, planet_bullish_Jupiter, planet_compression_Jupiter, planet_reversal_Jupiter, planet_trend_end_Jupiter, planet_trend_start_Jupiter, planet_volatility_Jupiter","jupiter_signal, planet_bullish_Jupiter, planet_trend_start_Jupiter"
planet,Pluto,102.8125,active_rule_mass_proxy,85.8430859361539,-16.969414063846102,0.8349479483151747,55.97,keep near current,2,8,4,0.5,1.0,0.0012257278010455335,0.4279074466025474,0.988368235900485,0.5786786659310256,0.27172118469999534,0.24652444976201113,0.5786786659310256,0.31463088142590434,"planet_bearish_Pluto, planet_bullish_Pluto, planet_compression_Pluto, planet_reversal_Pluto, planet_trend_end_Pluto, planet_trend_start_Pluto, planet_volatility_Pluto, pluto_signal","planet_trend_end_Pluto, planet_trend_start_Pluto, planet_volatility_Pluto, pluto_signal"
planet,Saturn,91.0225,active_rule_mass_proxy,78.67491225803563,-12.347587741964361,0.8643457634984277,55.2,keep near current,3,8,1,0.125,0.5119047483550212,0.0,1.0,0.707414105080319,0.5303571367597595,0.05579717572101187,0.5303571367597595,0.11443028303704363,0.0,"planet_bearish_Saturn, planet_bullish_Saturn, planet_compression_Saturn, planet_reversal_Saturn, planet_trend_end_Saturn, planet_trend_start_Saturn, planet_volatility_Saturn, saturn_signal",saturn_signal
planet,Uranus,76.6875,active_rule_mass_proxy,75.97831217953065,-0.7091878204693529,0.9907522370598943,50.37,keep near current,4,8,1,0.125,0.6617883199536895,0.0,0.7145809473745847,0.7948877765165667,0.5121790281915357,0.2383071056536271,0.0,0.16902450913653722,0.5121790281915357,"planet_bearish_Uranus, planet_bullish_Uranus, planet_compression_Uranus, planet_reversal_Uranus, planet_trend_end_Uranus, planet_trend_start_Uranus, planet_volatility_Uranus, uranus_signal",uranus_signal
planet,Neptune,58.43000000000001,active_rule_mass_proxy,61.65769993554487,3.2276999355448623,1.055240457565375,44.9,keep near current,5,8,1,0.125,0.6868656307443107,0.0,0.3551750277213577,0.9674333832398099,0.4156420421513471,0.08181174630980914,0.018802558008351115,0.11425571614840654,0.09491618741328375,"neptune_signal, planet_bearish_Neptune, planet_bullish_Neptune, planet_compression_Neptune, planet_reversal_Neptune, planet_trend_end_Neptune, planet_trend_start_Neptune, planet_volatility_Neptune",neptune_signal
planet,Mars,48.4725,active_rule_mass_proxy,41.69996793709057,-6.772532062909427,0.8602809415047825,52.29,keep near current,6,8,1,0.125,0.11734578304824948,0.0,0.7609964832606649,0.8946298658182573,0.28110454734991175,0.034703527555050344,0.03497184305054217,0.01805412643165192,0.09457928951208872,"mars_signal, planet_bearish_Mars, planet_bullish_Mars, planet_compression_Mars, planet_reversal_Mars, planet_trend_end_Mars, planet_trend_start_Mars, planet_volatility_Mars",mars_signal
planet,Mercury,12.512500000000003,active_rule_mass_proxy,7.639541565479888,-4.872958434520115,0.610552772465925,41.56,decrease weight,7,8,1,0.125,0.0,0.0,0.17166359112192744,1.0,0.051499077336578235,0.0,0.0,0.0014037765773650395,0.003044750542307623,"mercury_signal, planet_bearish_Mercury, planet_bullish_Mercury, planet_compression_Mercury, planet_reversal_Mercury, planet_trend_end_Mercury, planet_trend_start_Mercury, planet_volatility_Mercury",mercury_signal
planet,Moon,10.578750000000001,active_rule_mass_proxy,6.302830876336982,-4.275919123663019,0.5958010990274826,37.27,decrease weight,8,8,1,0.125,0.0,0.0,0.14162716089603553,0.631073443274774,0.04248814826881066,0.0,0.0,0.0011605255501750233,0.0020137169149180905,"moon_signal, planet_bearish_Moon, planet_bullish_Moon, planet_compression_Moon, planet_reversal_Moon, planet_trend_end_Moon, planet_trend_start_Moon, planet_volatility_Moon",moon_signal
planet,Sun,0.0,active_rule_mass_proxy,0.0,0.0,,25.0,keep near current,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sun_signal,sun_signal
planet,Venus,0.0,active_rule_mass_proxy,0.0,0.0,,25.0,keep near current,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,venus_signal,venus_signal
