window_class,horizon_days,sample_count,window_count,average_forward_return,median_forward_return,volatility,win_rate,max_gain,max_loss,average_return_rank,recommended_taxonomy,merged_with,cluster_size,statistically_distinct_from,behaviorally_similar_to
Neutral,7,87,5,0.04941783312589768,0.028408857376509333,0.09476267441181878,0.6781609195402298,0.2721351758504238,-0.2155402775218792,1.0,Neutral,,1,"Accumulation, Bearish, Bull Expansion, High Risk, Strong Bull, Transition",
Strong Bull,7,141,2,0.023621922706539566,0.01454373887903726,0.07519498721199139,0.5673758865248227,0.253253912615478,-0.13190920360910918,2.0,Strong Bull,,1,"Bearish, High Risk, Neutral","Accumulation, Bull Expansion, Transition"
Transition,7,1135,65,0.018522839121504216,0.011491813683046637,0.0838376195882153,0.573568281938326,0.4035910163408376,-0.27109464011973883,3.0,Transition,,1,"Bearish, High Risk, Neutral","Accumulation, Bull Expansion, Strong Bull"
Accumulation,7,91,27,0.013013999583443249,0.0006961944712924328,0.08877959853150529,0.5164835164835165,0.3888948657162048,-0.14583504837373318,4.0,Bull Expansion / Accumulation / High Risk / Bearish,"Bull Expansion, High Risk, Bearish",4,Neutral,"Bearish, Bull Expansion, High Risk, Strong Bull, Transition"
Bull Expansion,7,564,27,0.006433933859760746,0.00037859736090872786,0.08861243792475784,0.5053191489361702,0.3774703375463586,-0.3294393844388731,5.0,Bull Expansion / Accumulation / High Risk / Bearish,"Accumulation, High Risk, Bearish",4,Neutral,"Accumulation, Bearish, High Risk, Strong Bull, Transition"
Bearish,7,156,5,-0.0007117014745654487,-0.0097204604918264,0.07638511560492321,0.4230769230769231,0.1947187040620646,-0.20917206809331357,6.0,Bull Expansion / Accumulation / High Risk / Bearish,"Bull Expansion, Accumulation, High Risk",4,"Neutral, Strong Bull, Transition","Accumulation, Bull Expansion, High Risk"
High Risk,7,528,31,-0.005468112539697123,-0.004069874730388723,0.08464821707070512,0.4678030303030303,0.3715380246265265,-0.45248176951425423,7.0,Bull Expansion / Accumulation / High Risk / Bearish,"Bull Expansion, Accumulation, Bearish",4,"Neutral, Strong Bull, Transition","Accumulation, Bearish, Bull Expansion"
Neutral,14,87,5,0.10464004271073395,0.05608582008255669,0.13612189521980086,0.8160919540229885,0.5187169603145998,-0.12811405122189035,1.0,Neutral,,1,"Accumulation, Bearish, Bull Expansion, High Risk, Strong Bull, Transition",
Strong Bull,14,141,2,0.0432907571561526,0.011444929831311956,0.11436416195980321,0.5531914893617021,0.34629350541013704,-0.1588898584874866,2.0,Strong Bull,,1,"Accumulation, Bearish, Bull Expansion, High Risk, Neutral",Transition
Transition,14,1128,65,0.03618525082121183,0.02162381505247557,0.12556423314827997,0.6117021276595744,0.658709437145627,-0.2991238730214508,3.0,Transition,,1,"Accumulation, Bearish, High Risk, Neutral","Bull Expansion, Strong Bull"
Bull Expansion,14,564,27,0.01705199397634061,0.0026352260137051386,0.13405225453569977,0.5088652482269503,0.4711831961115811,-0.4028988682387685,4.0,Bull Expansion / Accumulation / High Risk / Bearish,"Accumulation, High Risk, Bearish",4,"Neutral, Strong Bull","Accumulation, Bearish, High Risk, Transition"
Accumulation,14,91,27,0.005454284355967985,-0.02497228188714562,0.11428908233002023,0.4065934065934066,0.47904512383976305,-0.162934273239003,5.0,Bull Expansion / Accumulation / High Risk / Bearish,"Bull Expansion, High Risk, Bearish",4,"Neutral, Strong Bull, Transition","Bearish, Bull Expansion, High Risk"
