start_date,end_date,base_window_type,window_class,taxonomy_v2,taxonomy_changed,duration_days,average_confidence,average_ml_probability,average_astro_score,average_risk_score,v2_posture,avg_forward_return,avg_win_rate,avg_volatility,average_forward_return_7d,average_forward_return_14d,average_forward_return_30d,win_rate_7d,win_rate_14d,win_rate_30d,key_driver_summary,taxonomy_reason,narrative_v2,is_next_major_bullish_opportunity_v2,is_next_major_risk_window_v2,taxonomy_v2_source,taxonomy_v3,v3_posture,taxonomy_v3_reason,narrative_v3,taxonomy_v3_priority
2026-06-02,2026-06-05,Neutral / Transition Window,Transition,Constructive / Positive Drift,True,4,0.2916008122248796,0.5395601330210521,1.7418296430198197,0.125,Constructive Long Bias,0.0403856315060426,0.5938311437268781,0.1352654813959883,0.0185228391215042,0.0361852508212118,0.0664488045754121,0.573568281938326,0.6117021276595744,0.5962230215827338,"Mixed directional signals with astro score (1.74), momentum (1.28), and ML probability (0.54) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=1.85%, 14D=3.62%, 30D=6.64%) with average win rate 59.38%.","From 2026-06-02 to 2026-06-05, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=1.85%, 14D=3.62%, 30D=6.64%) with average win rate 59.38%. The stance favors measured long exposure instead of aggressive chasing.",True,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-06-02 to 2026-06-05, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5
2026-06-06,2026-07-05,Bullish Window,Bull Expansion,Neutral / Tactical,True,30,0.3660186030419371,0.5946395266210953,1.3122425494843422,0.1333333333333333,Tactical / Wait,0.0155041212019413,0.506501182033097,0.1416215306672701,0.0064339338597607,0.0170519939763406,0.0230264357697229,0.5053191489361702,0.5088652482269503,0.5053191489361702,"Positive astro score (1.31), supportive momentum (0.89), and mean ML probability (0.59) above the bullish threshold.","Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%.","From 2026-06-06 to 2026-07-05, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-06-06 to 2026-07-05, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4
2026-07-06,2026-07-08,Neutral / Transition Window,Accumulation,Neutral / Tactical,True,3,0.310730086994994,0.5595416277084678,0.7149123430327102,0.0,Tactical / Wait,0.0035542341257054,0.4285714285714286,0.1225936792969443,0.0130139995834432,0.0054542843559679,-0.0078055815622948,0.5164835164835165,0.4065934065934066,0.3626373626373626,"Mixed directional signals with astro score (0.71), momentum (1.05), and ML probability (0.56) clustering near neutral.","Historical returns are positive but not sharply distinct, with average return 0.36%, win rate 42.86%, and volatility 12.26%.","From 2026-07-06 to 2026-07-08, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 0.36%, win rate 42.86%, and volatility 12.26%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-07-06 to 2026-07-08, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4
2026-07-09,2026-07-09,Bullish Window,Accumulation,Neutral / Tactical,True,1,0.3242001983286979,0.5704891246276879,0.6320150049611412,0.0,Tactical / Wait,0.0035542341257054,0.4285714285714286,0.1225936792969443,0.0130139995834432,0.0054542843559679,-0.0078055815622948,0.5164835164835165,0.4065934065934066,0.3626373626373626,"Positive astro score (0.63), supportive momentum (1.07), and mean ML probability (0.57) above the bullish threshold.","Historical returns are positive but not sharply distinct, with average return 0.36%, win rate 42.86%, and volatility 12.26%.","From 2026-07-09 to 2026-07-09, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 0.36%, win rate 42.86%, and volatility 12.26%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-07-09 to 2026-07-09, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4
2026-07-10,2026-08-15,Neutral / Transition Window,Transition,Constructive / Positive Drift,True,37,0.268806892433198,0.5205457043765954,0.2379298166964524,0.2567567567567567,Constructive Long Bias,0.0403856315060426,0.5938311437268781,0.1352654813959883,0.0185228391215042,0.0361852508212118,0.0664488045754121,0.573568281938326,0.6117021276595744,0.5962230215827338,"Mixed directional signals with astro score (0.24), momentum (0.28), and ML probability (0.52) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=1.85%, 14D=3.62%, 30D=6.64%) with average win rate 59.38%.","From 2026-07-10 to 2026-08-15, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=1.85%, 14D=3.62%, 30D=6.64%) with average win rate 59.38%. The stance favors measured long exposure instead of aggressive chasing.",False,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-07-10 to 2026-08-15, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5
2026-08-16,2026-09-26,Bullish Window,Bull Expansion,Neutral / Tactical,True,42,0.3975824102322629,0.6060569295419648,0.0475315479739175,0.3214285714285714,Tactical / Wait,0.0155041212019413,0.506501182033097,0.1416215306672701,0.0064339338597607,0.0170519939763406,0.0230264357697229,0.5053191489361702,0.5088652482269503,0.5053191489361702,"Positive astro score (0.05), supportive momentum (0.34), and mean ML probability (0.61) above the bullish threshold.","Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%.","From 2026-08-16 to 2026-09-26, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-08-16 to 2026-09-26, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4
2026-09-27,2026-10-06,Neutral / Transition Window,Neutral,Constructive / Positive Drift,True,10,0.3112466131072426,0.5280889731931875,0.3808944146215406,0.45,Constructive Long Bias,0.133214022521279,0.7816091954022988,0.1435401735459146,0.0494178331258976,0.1046400427107339,0.2455841917272056,0.6781609195402298,0.8160919540229885,0.8505747126436781,"Mixed directional signals with astro score (0.38), momentum (0.99), and ML probability (0.53) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=4.94%, 14D=10.46%, 30D=24.56%) with average win rate 78.16%.","From 2026-09-27 to 2026-10-06, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=4.94%, 14D=10.46%, 30D=24.56%) with average win rate 78.16%. The stance favors measured long exposure instead of aggressive chasing.",False,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-09-27 to 2026-10-06, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5
2026-10-07,2026-10-11,Bullish Window,Bull Expansion,Neutral / Tactical,True,5,0.3857534969935893,0.5829657674556968,0.5916245346486333,0.5,Tactical / Wait,0.0155041212019413,0.506501182033097,0.1416215306672701,0.0064339338597607,0.0170519939763406,0.0230264357697229,0.5053191489361702,0.5088652482269503,0.5053191489361702,"Positive astro score (0.59), supportive momentum (0.85), and mean ML probability (0.58) above the bullish threshold.","Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%.","From 2026-10-07 to 2026-10-11, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-10-07 to 2026-10-11, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4
2026-10-12,2026-10-25,Neutral / Transition Window,Transition,Constructive / Positive Drift,True,14,0.3429057890852899,0.4633165066461459,2.4271341625255167,0.5,Constructive Long Bias,0.0403856315060426,0.5938311437268781,0.1352654813959883,0.0185228391215042,0.0361852508212118,0.0664488045754121,0.573568281938326,0.6117021276595744,0.5962230215827338,"Mixed directional signals with astro score (2.43), momentum (1.66), and ML probability (0.46) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=1.85%, 14D=3.62%, 30D=6.64%) with average win rate 59.38%.","From 2026-10-12 to 2026-10-25, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=1.85%, 14D=3.62%, 30D=6.64%) with average win rate 59.38%. The stance favors measured long exposure instead of aggressive chasing.",False,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-10-12 to 2026-10-25, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5
2026-10-26,2026-11-01,Bullish Window,Bull Expansion,Neutral / Tactical,True,7,0.3532629941231923,0.5964978921362604,2.149615693943429,0.8571428571428571,Tactical / Wait,0.0155041212019413,0.506501182033097,0.1416215306672701,0.0064339338597607,0.0170519939763406,0.0230264357697229,0.5053191489361702,0.5088652482269503,0.5053191489361702,"Positive astro score (2.15), supportive momentum (1.90), and mean ML probability (0.60) above the bullish threshold.","Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%.","From 2026-10-26 to 2026-11-01, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 1.55%, win rate 50.65%, and volatility 14.16%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-10-26 to 2026-11-01, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4
