start_date,end_date,base_window_type,window_class,taxonomy_v2,taxonomy_changed,duration_days,average_confidence,average_ml_probability,average_astro_score,average_risk_score,v2_posture,avg_forward_return,avg_win_rate,avg_volatility,average_forward_return_7d,average_forward_return_14d,average_forward_return_30d,win_rate_7d,win_rate_14d,win_rate_30d,key_driver_summary,taxonomy_reason,narrative_v2,is_next_major_bullish_opportunity_v2,is_next_major_risk_window_v2,taxonomy_v2_source,taxonomy_v3,v3_posture,taxonomy_v3_reason,narrative_v3,taxonomy_v3_priority,taxonomy_v4_source,taxonomy_v4,v4_posture,taxonomy_v4_meaning,taxonomy_v4_exposure_language,taxonomy_v4_caveat,taxonomy_v4_color,taxonomy_v4_priority,taxonomy_v4_reason,narrative_v4,is_next_major_bullish_opportunity_v4,is_next_major_risk_window_v4
2026-05-31,2026-06-04,Neutral / Transition Window,Transition,Constructive / Positive Drift,True,5,0.2946128471807154,0.5288445066982769,1.6499690753542224,0.0,Constructive Long Bias,0.0467886166245984,0.6034429643055844,0.1372935119823466,0.0159240160557142,0.0346251880039801,0.0898166458141011,0.5514771709937332,0.6135135135135135,0.6453382084095064,"Mixed directional signals with astro score (1.65), momentum (1.30), and ML probability (0.53) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%.","From 2026-05-31 to 2026-06-04, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%. The stance favors measured long exposure instead of aggressive chasing.",True,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-05-31 to 2026-06-04, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5,Constructive Drift,Constructive Drift,Measured long bias,Stable positive drift,Moderate risk-on,Broadly positive and more stable than the faster expansion state.,#2E7D32,5,"Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing.","From 2026-05-31 to 2026-06-04, the outlook is constructive drift. Stable positive drift. Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing. Investor posture: measured long bias. Exposure language: moderate risk-on. Caveat: Broadly positive and more stable than the faster expansion state.",True,False
2026-06-05,2026-07-04,Bullish Window,Strong Bull,False Bull / Exhaustion Risk,True,30,0.4010953918067847,0.6124937382406429,1.2366878626881528,0.1333333333333333,Fade Strength / Defensive,-0.0260794306689253,0.3333333333333333,0.0662180752414662,-0.0175877600250479,-0.0248316334846815,-0.0358188984970467,0.3384615384615385,0.3076923076923077,0.3538461538461538,"Positive astro score (1.24), supportive momentum (0.84), and mean ML probability (0.61) above the bullish threshold.","The label appears bullish on the surface, but realized forward returns stayed negative (avg -2.61%) and win rate remained weak at 33.33%.","From 2026-06-05 to 2026-07-04, the calibrated outlook is false bull / exhaustion risk. The label appears bullish on the surface, but realized forward returns stayed negative (avg -2.61%) and win rate remained weak at 33.33%. Any apparent upside strength should be treated as fragile until proven otherwise.",False,True,False Bull / Exhaustion Risk,High Momentum Expansion,Momentum Long Bias,"Alpha audit evidence is positive rather than fragile: 7D=3.55%, 14D=7.20%, 30D=16.82%, with 30D win rate 73.44%. Strength should be respected, not faded.","From 2026-06-05 to 2026-07-04, the outlook shifts into high momentum expansion. Alpha audit evidence is positive rather than fragile: 7D=3.55%, 14D=7.20%, 30D=16.82%, with 30D win rate 73.44%. Strength should be respected, not faded. This is a trend-following state where upside strength historically persisted.",6,High Momentum Expansion,High Conviction Expansion,Risk-on with confirmation,High-probability expansion window,Moderate to aggressive risk-on,"Historically positive, but fragile because the sample is concentrated in fewer active years.",#D97706,6,"Historical outcomes are strong (30D=10.70%, 60D=16.16%) with 30D win rate 63.77%, but stability is fragile because the active sample is concentrated.","From 2026-06-05 to 2026-07-04, the outlook is high conviction expansion. High-probability expansion window. Historical outcomes are strong (30D=10.70%, 60D=16.16%) with 30D win rate 63.77%, but stability is fragile because the active sample is concentrated. Investor posture: risk-on with confirmation. Exposure language: moderate to aggressive risk-on. Caveat: Historically positive, but fragile because the sample is concentrated in fewer active years.",True,False
2026-07-05,2026-07-14,Neutral / Transition Window,Transition,Constructive / Positive Drift,True,10,0.2700484756640656,0.4584276100126921,0.6199562649660291,0.15,Constructive Long Bias,0.0467886166245984,0.6034429643055844,0.1372935119823466,0.0159240160557142,0.0346251880039801,0.0898166458141011,0.5514771709937332,0.6135135135135135,0.6453382084095064,"Mixed directional signals with astro score (0.62), momentum (1.07), and ML probability (0.46) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%.","From 2026-07-05 to 2026-07-14, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%. The stance favors measured long exposure instead of aggressive chasing.",False,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-07-05 to 2026-07-14, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5,Constructive Drift,Constructive Drift,Measured long bias,Stable positive drift,Moderate risk-on,Broadly positive and more stable than the faster expansion state.,#2E7D32,5,"Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing.","From 2026-07-05 to 2026-07-14, the outlook is constructive drift. Stable positive drift. Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing. Investor posture: measured long bias. Exposure language: moderate risk-on. Caveat: Broadly positive and more stable than the faster expansion state.",True,False
2026-07-15,2026-07-31,Bearish / Risk Window,Bearish,Bearish,False,17,0.3805683042911,0.3448980321170745,0.0492721168246639,0.5588235294117647,Short Bias / Defensive,-0.0370034171947597,0.3484848484848484,0.1162983246252039,-0.032395676199534,-0.0436917548696697,-0.0349228205150757,0.3090909090909091,0.3272727272727272,0.4090909090909091,"Negative or fragile directional balance with mean astro score (0.05), ML probability (0.34) near/below bearish territory, and volatility score (0.46).","Historical forward returns are consistently negative (7D=-3.24%, 14D=-4.37%, 30D=-3.49%) with average win rate only 34.85%.","From 2026-07-15 to 2026-07-31, the calibrated outlook is bearish. Historical forward returns are consistently negative (7D=-3.24%, 14D=-4.37%, 30D=-3.49%) with average win rate only 34.85%. Defensive or short-biased positioning is more justified than buying dips.",False,False,Bearish,Defensive / Weak Trend,Defensive / Short Bias,"Historical downside and weak follow-through remain the base case here (7D=-1.35%, 14D=-1.54%, 30D=3.31%).","From 2026-07-15 to 2026-07-31, the outlook is defensive / weak trend. Historical downside and weak follow-through remain the base case here (7D=-1.35%, 14D=-1.54%, 30D=3.31%). The historical profile argues for smaller risk budgets and caution on long exposure.",1,Defensive / Weak Trend,Recovery / Reversal Setup,Opportunistic accumulation,Historically strong post-stress recovery / reversal setup,High opportunity but confirm with price action,Do not treat this as a defensive label; the opportunity profile is strong but can still be noisy intrawindow.,#7C3AED,4,"Historical forward returns are unexpectedly strong after stress (30D=13.62%, 60D=30.82%, 90D=31.99%) with 30D win rate 85.71%. This behaves like a recovery / reversal setup, not a defensive trend.","From 2026-07-15 to 2026-07-31, the outlook is recovery / reversal setup. Historically strong post-stress recovery / reversal setup. Historical forward returns are unexpectedly strong after stress (30D=13.62%, 60D=30.82%, 90D=31.99%) with 30D win rate 85.71%. This behaves like a recovery / reversal setup, not a defensive trend. Investor posture: opportunistic accumulation. Exposure language: high opportunity but confirm with price action. Caveat: Do not treat this as a defensive label; the opportunity profile is strong but can still be noisy intrawindow.",True,False
2026-08-01,2026-08-19,Neutral / Transition Window,Transition,Constructive / Positive Drift,True,19,0.2771938732793727,0.5350015293610205,0.3214273619212549,0.1842105263157894,Constructive Long Bias,0.0467886166245984,0.6034429643055844,0.1372935119823466,0.0159240160557142,0.0346251880039801,0.0898166458141011,0.5514771709937332,0.6135135135135135,0.6453382084095064,"Mixed directional signals with astro score (0.32), momentum (0.11), and ML probability (0.54) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%.","From 2026-08-01 to 2026-08-19, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%. The stance favors measured long exposure instead of aggressive chasing.",False,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-08-01 to 2026-08-19, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5,Constructive Drift,Constructive Drift,Measured long bias,Stable positive drift,Moderate risk-on,Broadly positive and more stable than the faster expansion state.,#2E7D32,5,"Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing.","From 2026-08-01 to 2026-08-19, the outlook is constructive drift. Stable positive drift. Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing. Investor posture: measured long bias. Exposure language: moderate risk-on. Caveat: Broadly positive and more stable than the faster expansion state.",True,False
2026-08-20,2026-09-27,Bullish Window,Bull Expansion,Neutral / Tactical,True,39,0.4011838973974054,0.5983071018598617,0.0309244631327507,0.282051282051282,Tactical / Wait,0.03560333987572,0.5485602733040508,0.1489792314362067,0.0223334169664267,0.0345521139980857,0.0499244886626476,0.5739385065885798,0.5373352855051244,0.5344070278184481,"Positive astro score (0.03), supportive momentum (0.37), and mean ML probability (0.60) above the bullish threshold.","Historical returns are positive but not sharply distinct, with average return 3.56%, win rate 54.86%, and volatility 14.90%.","From 2026-08-20 to 2026-09-27, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 3.56%, win rate 54.86%, and volatility 14.90%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-08-20 to 2026-09-27, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4,Tactical Neutral,Transition / Low Conviction,Tactical / wait,Low-conviction transition state,Selective exposure only,This bucket absorbs many observations and likely includes multiple sub-regimes.,#C9A227,3,"Historical outcomes are only moderately positive (30D=3.25%, 60D=12.31%) and this state absorbs a large share of windows, so patience and selectivity matter.","From 2026-08-20 to 2026-09-27, the outlook is transition / low conviction. Low-conviction transition state. Historical outcomes are only moderately positive (30D=3.25%, 60D=12.31%) and this state absorbs a large share of windows, so patience and selectivity matter. Investor posture: tactical / wait. Exposure language: selective exposure only. Caveat: This bucket absorbs many observations and likely includes multiple sub-regimes.",False,False
2026-09-28,2026-10-02,Neutral / Transition Window,Accumulation,Constructive / Positive Drift,True,5,0.3760236188139446,0.5678010048353761,0.4223127002336093,0.4,Constructive Long Bias,0.0521100932399063,0.6392156862745098,0.1174907359503372,0.0408375255514155,0.0510618610287216,0.0644308931395821,0.5882352941176471,0.6705882352941176,0.6588235294117647,"Mixed directional signals with astro score (0.42), momentum (1.02), and ML probability (0.57) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=4.08%, 14D=5.11%, 30D=6.44%) with average win rate 63.92%.","From 2026-09-28 to 2026-10-02, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=4.08%, 14D=5.11%, 30D=6.44%) with average win rate 63.92%. The stance favors measured long exposure instead of aggressive chasing.",False,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-09-28 to 2026-10-02, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5,Constructive Drift,Constructive Drift,Measured long bias,Stable positive drift,Moderate risk-on,Broadly positive and more stable than the faster expansion state.,#2E7D32,5,"Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing.","From 2026-09-28 to 2026-10-02, the outlook is constructive drift. Stable positive drift. Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing. Investor posture: measured long bias. Exposure language: moderate risk-on. Caveat: Broadly positive and more stable than the faster expansion state.",True,False
2026-10-03,2026-10-12,Bullish Window,Bull Expansion,Neutral / Tactical,True,10,0.3942280595897299,0.5812406874145594,0.519137596460393,0.45,Tactical / Wait,0.03560333987572,0.5485602733040508,0.1489792314362067,0.0223334169664267,0.0345521139980857,0.0499244886626476,0.5739385065885798,0.5373352855051244,0.5344070278184481,"Positive astro score (0.52), supportive momentum (0.87), and mean ML probability (0.58) above the bullish threshold.","Historical returns are positive but not sharply distinct, with average return 3.56%, win rate 54.86%, and volatility 14.90%.","From 2026-10-03 to 2026-10-12, the calibrated outlook is neutral and tactical. Historical returns are positive but not sharply distinct, with average return 3.56%, win rate 54.86%, and volatility 14.90%. Positioning should stay flexible until cleaner edge appears.",False,False,Neutral / Tactical,Tactical Neutral,Tactical / Wait,"Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend.","From 2026-10-03 to 2026-10-12, the outlook is tactical neutral. Historical returns are mixed to mildly positive (7D=0.81%, 14D=1.12%, 30D=0.53%), so the state is best treated tactically rather than as a high-conviction trend. Flexibility and selective positioning matter more than full directional commitment.",4,Tactical Neutral,Transition / Low Conviction,Tactical / wait,Low-conviction transition state,Selective exposure only,This bucket absorbs many observations and likely includes multiple sub-regimes.,#C9A227,3,"Historical outcomes are only moderately positive (30D=3.25%, 60D=12.31%) and this state absorbs a large share of windows, so patience and selectivity matter.","From 2026-10-03 to 2026-10-12, the outlook is transition / low conviction. Low-conviction transition state. Historical outcomes are only moderately positive (30D=3.25%, 60D=12.31%) and this state absorbs a large share of windows, so patience and selectivity matter. Investor posture: tactical / wait. Exposure language: selective exposure only. Caveat: This bucket absorbs many observations and likely includes multiple sub-regimes.",False,False
2026-10-13,2026-11-14,Neutral / Transition Window,Transition,Constructive / Positive Drift,True,33,0.3129660543423301,0.4996439747852414,2.0239874994637503,0.696969696969697,Constructive Long Bias,0.0467886166245984,0.6034429643055844,0.1372935119823466,0.0159240160557142,0.0346251880039801,0.0898166458141011,0.5514771709937332,0.6135135135135135,0.6453382084095064,"Mixed directional signals with astro score (2.02), momentum (1.55), and ML probability (0.50) clustering near neutral.","Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%.","From 2026-10-13 to 2026-11-14, the calibrated outlook is constructive rather than merely optimistic. Historical outcomes remain positive across key horizons (7D=1.59%, 14D=3.46%, 30D=8.98%) with average win rate 60.34%. The stance favors measured long exposure instead of aggressive chasing.",False,False,Constructive / Positive Drift,Constructive Drift,Constructive Long Bias,"Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside.","From 2026-10-13 to 2026-11-14, the outlook is constructive drift. Historical outcomes stay constructive across horizons (7D=1.81%, 14D=3.77%, 30D=8.07%) with steady follow-through rather than explosive upside. The evidence supports measured long exposure with patience rather than chase behavior.",5,Constructive Drift,Constructive Drift,Measured long bias,Stable positive drift,Moderate risk-on,Broadly positive and more stable than the faster expansion state.,#2E7D32,5,"Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing.","From 2026-10-13 to 2026-11-14, the outlook is constructive drift. Stable positive drift. Historical outcomes are steadily positive (30D=7.89%, 60D=11.93%, 90D=21.66%) with 30D win rate 62.23%. This supports a measured long bias rather than aggressive chasing. Investor posture: measured long bias. Exposure language: moderate risk-on. Caveat: Broadly positive and more stable than the faster expansion state.",True,False
2026-11-15,2026-11-22,Bearish / Risk Window,High Risk,High Risk,False,8,0.3995969753095416,0.4237595165873582,0.2795520571602818,1.0,Defensive,0.0002925410337598,0.4743821579264617,0.1214350543168632,-0.0063208229056952,-0.0035441368642599,0.0107425828712345,0.4773960216998191,0.4737793851717902,0.4719710669077758,"Negative or fragile directional balance with mean astro score (0.28), ML probability (0.42) near/below bearish territory, and volatility score (1.77).","Historical returns are weak at 0.03% while average volatility stays elevated at 12.14%, which supports a defensive risk framing.","From 2026-11-15 to 2026-11-22, the calibrated outlook shifts to high risk. Historical returns are weak at 0.03% while average volatility stays elevated at 12.14%, which supports a defensive risk framing. Capital preservation matters more than directional conviction.",False,False,High Risk,High Volatility Risk,Defensive / Volatility Control,"Volatility dominates directional edge in this state. Historical outcomes are weaker and less reliable (7D=-0.11%, 14D=0.12%, 30D=2.14%).","From 2026-11-15 to 2026-11-22, the outlook is high volatility risk. Volatility dominates directional edge in this state. Historical outcomes are weaker and less reliable (7D=-0.11%, 14D=0.12%, 30D=2.14%). Risk control matters more than conviction until the signal base stabilizes.",2,High Volatility Risk,Volatility Caution,Capital preservation,Volatility dominates directional edge,Low exposure / defensive,This remains the clearest caution state in the current taxonomy family.,#7F1D1D,2,"Historical returns are weakest here (30D=1.23%, 60D=6.81%, 90D=11.86%) and stability is fragile. Volatility dominates directional edge.","From 2026-11-15 to 2026-11-22, the outlook is volatility caution. Volatility dominates directional edge. Historical returns are weakest here (30D=1.23%, 60D=6.81%, 90D=11.86%) and stability is fragile. Volatility dominates directional edge. Investor posture: capital preservation. Exposure language: low exposure / defensive. Caveat: This remains the clearest caution state in the current taxonomy family.",False,True
