indicator,span,long_threshold,short_threshold,mode,total_return,buy_hold_return,max_drawdown,buy_hold_max_drawdown,sharpe_like,return_drawdown_ratio,number_of_trades,balanced_score
astro_bullish_score,10,0.5,-0.5,long_short_balanced_v2,776.3738674408587,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.2174044634361738,930.9149813712066,27,418.27713315954054
astro_bullish_score,10,0.5,-1.0,long_short_balanced_v2,776.3738674408587,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.2174044634361738,930.9149813712066,27,418.27713315954054
astro_bullish_score,10,0.5,-1.5,long_short_balanced_v2,776.3738674408587,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.2174044634361738,930.9149813712066,27,418.27713315954054
astro_bullish_score,8,0.5,-0.5,long_short_balanced_v2,683.4101429216342,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.20061659704745,819.4463610217407,27,368.0875765873246
astro_bullish_score,8,0.5,-1.0,long_short_balanced_v2,683.4101429216342,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.20061659704745,819.4463610217407,27,368.0875765873246
astro_bullish_score,8,0.5,-1.5,long_short_balanced_v2,683.4101429216342,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.20061659704745,819.4463610217407,27,368.0875765873246
astro_bullish_score,3,0.5,-0.5,long_short_balanced_v2,588.6234284979013,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.185600518348512,705.7918754800454,37,316.89465872038596
astro_bullish_score,3,0.5,-1.0,long_short_balanced_v2,588.6234284979013,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.185600518348512,705.7918754800454,37,316.89465872038596
astro_bullish_score,3,0.5,-1.5,long_short_balanced_v2,588.6234284979013,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.185600518348512,705.7918754800454,37,316.89465872038596
astro_trend_start_score,30,0.5,-0.5,long_short_balanced_v2,559.7942205412828,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.1713921428883145,671.2240690231558,12,301.3766516918385
astro_trend_start_score,30,0.5,-1.0,long_short_balanced_v2,559.7942205412828,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.1713921428883145,671.2240690231558,12,301.3766516918385
astro_trend_start_score,30,0.5,-1.5,long_short_balanced_v2,559.7942205412828,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.1713921428883145,671.2240690231558,12,301.3766516918385
astro_bullish_score,14,0.5,-0.5,long_short_balanced_v2,536.2788992670775,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.1662126608873504,643.0279050563383,25,288.654750723413
astro_bullish_score,14,0.5,-1.0,long_short_balanced_v2,536.2788992670775,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.1662126608873504,643.0279050563383,25,288.654750723413
astro_bullish_score,14,0.5,-1.5,long_short_balanced_v2,536.2788992670775,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.1662126608873504,643.0279050563383,25,288.654750723413
astro_bullish_score,5,0.5,-0.5,long_short_balanced_v2,529.0993625821027,169.68246816461956,-0.8339900882218977,-0.8339900882218972,1.1697596449953938,634.4192455694108,33,284.7645766141783
astro_bullish_score,5,0.5,-1.0,long_short_balanced_v2,529.0993625821027,169.68246816461956,-0.8339900882218977,-0.8339900882218972,1.1697596449953938,634.4192455694108,33,284.7645766141783
astro_bullish_score,5,0.5,-1.5,long_short_balanced_v2,529.0993625821027,169.68246816461956,-0.8339900882218977,-0.8339900882218972,1.1697596449953938,634.4192455694108,33,284.7645766141783
astro_trend_start_score,21,0.5,-0.5,long_short_balanced_v2,443.64999132013475,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.1461023011940132,531.9607481978779,20,238.65460282376077
astro_trend_start_score,21,0.5,-1.0,long_short_balanced_v2,443.64999132013475,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.1461023011940132,531.9607481978779,20,238.65460282376077
astro_trend_start_score,21,0.5,-1.5,long_short_balanced_v2,443.64999132013475,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.1461023011940132,531.9607481978779,20,238.65460282376077
astro_bullish_score,21,0.5,-0.5,long_short_balanced_v2,318.8669306476359,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0904424851362777,382.3389931737365,19,171.27506969075972
astro_bullish_score,21,0.5,-1.0,long_short_balanced_v2,318.8669306476359,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0904424851362777,382.3389931737365,19,171.27506969075972
astro_bullish_score,21,0.5,-1.5,long_short_balanced_v2,318.8669306476359,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0904424851362777,382.3389931737365,19,171.27506969075972
