natal_target,total_importance,mean_importance,median_importance,max_feature_importance,feature_count,selected_feature_count,total_horizon_coverage,selected_feature_ratio,importance_share,rank
bullish,1.275173966746926,0.005903583179383916,0.0054824029281307,0.0197832570738443,36,36,216,1.0,0.2422963308595682,1
trend_start,1.21924610000299,0.0075262104938456165,0.007056014352977567,0.0208443223874459,27,27,162,1.0,0.2316694538543635,2
bearish,0.9158508352069745,0.007632090293391454,0.007302779445153042,0.0159326458001885,20,20,120,1.0,0.1740211945758466,3
reversal,0.5780631922082063,0.007411066566771875,0.007177450961814584,0.0156436725967102,13,13,78,1.0,0.10983802534357642,4
momentum,0.3607707888929694,0.00601284648154949,0.006267699795960908,0.0123949740654772,10,10,60,1.0,0.06855020625387863,5
volatility,0.3534445814597481,0.007363428780411419,0.007611814960214533,0.012276618295821,8,8,48,1.0,0.06715815056071382,6
compression,0.2811565943915146,0.007809905399764294,0.0083041444508417,0.0158455596527899,6,6,36,1.0,0.053422680351469035,7
trend_end,0.2791634291391726,0.007754539698310349,0.007343111256113725,0.0131580643217993,6,6,36,1.0,0.0530439582005838,8
aspect_count,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,9
other,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10
