planet,total_importance,mean_importance,median_importance,max_feature_importance,feature_count,selected_feature_count,total_horizon_coverage,selected_feature_ratio,importance_share,rank
composite,4.927067993959435,0.006900655453724699,0.006836612872169068,0.0208443223874459,119,119,714,1.0,0.936194219740459,1
pluto,0.2494805227658061,0.010395021781908587,0.010042727585427125,0.0203875260807076,4,4,24,1.0,0.04740389692967947,2
jupiter,0.0628453683787032,0.0052371140315586005,0.0052371140315586005,0.0092181292709437,2,2,12,1.0,0.0119412743411972,3
saturn,0.0234756029445569,0.003912600490759483,0.003912600490759483,0.0084555889476867,1,1,6,1.0,0.0044606089886644286,4
uranus,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,5
neptune,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6
moon,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7
mars,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,8
venus,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,9
mercury,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10
sun,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,11
