date,price,astro_regime_v2,astro_momentum_v2_smooth,astro_trend_start_score,astro_trend_end_score,astro_reversal_score,astro_volatility_score,astro_compression_score,horizon,ml_prob_up,ml_pred_direction,ml_position_raw,actual_direction,walk_train_start,walk_train_end,long_probability_threshold,short_probability_threshold,threshold_source,ml_vote_component,momentum_vote_component,trend_vote_component,regime_vote_component,signal_vote_score,long_regime_allowed,short_regime_allowed,long_trend_confirmed,short_trend_confirmed,signal_position_raw,btc_return_1d,ml_position,ml_strategy_return,buy_hold_return,ml_strategy_equity,buy_hold_equity_ml_period,ml_strategy_drawdown,buy_hold_drawdown_ml_period,ensemble_probability,ensemble_signal,ensemble_confidence,ensemble_vote_score,ensemble_actual_signal,signal_direction,ensemble_signal_direction,regime_label_normalized,ml_probability_strength,ensemble_confidence_strength,momentum_alignment_strength,regime_strength,volatility_state,volatility_multiplier,hybrid_volatility_multiplier,signal_vote_strength,ensemble_alignment_strength,sizing_method,position_size,net_exposure_raw,net_exposure,strategy_return,strategy_equity,strategy_drawdown
2016-10-06,613.02099609375,sideways,0.626866756440849,0.9685980734240764,0.8675606440587287,1.9498783321676203,1.897525047410321,0.0,7,0.8253826662066502,1,1,1,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7997346929430137,1,0.7997346929430136,1.0,1,1,1,sideways,0.6362138879305214,0.7997346929430136,0.665277196059656,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.0,0.0,1.0,0.0
2016-10-07,617.1209716796875,sideways,0.6107880203773208,0.9786305482502644,0.8675606440587287,1.961917301959046,1.915583502097459,0.0,7,0.818147719899455,1,1,1,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.0066881487127896,1.0,0.0066881487127896,0.0066881487127896,1.0066881487127897,1.0066881487127897,0.0,0.0,0.7916396967739188,1,0.7916396967739188,1.0,1,1,1,sideways,0.6211410831238646,0.7916396967739188,0.6613424744741556,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.75,0.0050161115345922,1.0050161115345921,0.0
2016-10-08,619.1079711914062,sideways,0.6034249774964432,0.9886988917346878,0.8675606440587287,1.9739993141403536,1.9337065203694208,0.0,7,0.8047986493684941,1,1,1,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.0032197893166885,1.0,0.0032197893166885,0.0032197893166885,1.009929472459252,1.009929472459252,0.0,0.0,0.7791588007760695,1,0.7791588007760695,1.0,1,1,1,sideways,0.593330519517696,0.7791588007760695,0.6595331070487787,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.75,0.002414841987516375,1.0074430666388563,0.0
2016-10-09,616.7520141601562,sideways,0.6018828881266749,0.9987987093871384,0.8675606440587287,1.986119095323295,1.9518861921438324,0.0,7,0.7988012207330671,1,1,1,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,-0.0038054057464583,1.0,-0.0038054057464583,-0.0038054057464583,1.006086281041238,1.006086281041238,-0.0038054057464583,-0.0038054057464583,0.773216844634411,1,0.773216844634411,1.0,1,1,1,sideways,0.5808358765272232,0.773216844634411,0.6591535675662328,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.75,-0.0028540543098437253,1.0045677694125934,-0.0028540543098438675
2016-10-10,618.9940185546875,sideways,0.6042304663229439,1.0089256227154817,0.8675606440587287,1.998271391317307,1.9701146361348496,0.0,7,0.7949707003561305,1,1,1,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.0036351796881997,1.0,0.0036351796881997,0.0036351796881997,1.0097435854546553,1.0097435854546553,-0.0001840593919336,-0.0001840593919336,0.7720888526285505,1,0.7720888526285505,1.0,1,1,1,sideways,0.5728556257419385,0.7720888526285505,0.659731272880578,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.75,0.002726384766149775,1.007306607675685,-0.00013545079388621595
2016-10-11,641.072021484375,sideways,0.7175712715268572,1.3442528819346835,0.8852171126392199,2.418320570960841,2.5878288775938065,0.0,7,0.7080268397945614,1,1,0,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.0356675545609281,1.0,0.0356675545609281,0.0356675545609281,1.0457586698814063,1.0457586698814063,0.0,0.0,0.7019999429884605,1,0.6542344937943023,0.9044691016116838,-1,1,1,sideways,0.3917225829053362,0.6542344937943023,0.6870346469446612,0.55,HighVol,0.5,0.65,1.0,1.0,Confidence-Based Sizing,0.5,0.5,0.75,0.026750665920696075,1.0342527302173268,0.0
2016-10-12,636.1920166015625,sideways,0.6881286322725659,1.0292433537639831,0.8675606440587287,2.0786400871066264,2.096266421671942,0.0,7,0.7550194237352127,1,1,0,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,-0.0076122568436429,1.0,-0.0076122568436429,-0.0076122568436429,1.0377980862898029,1.0377980862898029,-0.0076122568436429,-0.0076122568436429,0.7366594945695423,1,0.6888940453753842,0.9044691016116838,-1,1,1,sideways,0.48962379944835976,0.6888940453753842,0.680056160640809,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.5,-0.00380612842182145,1.0303162315055001,-0.0038061284218214864
2016-10-13,636.7860107421875,sideways,0.6718942818548432,1.039425581019398,0.8675606440587287,2.034871341282006,2.0250145610819,0.0,7,0.756942773515201,1,1,0,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.0009336711639325,1.0,0.0009336711639325,0.0009336711639325,1.038767048436956,1.038767048436956,-0.0066856930244177,-0.0066856930244177,0.7398468770542053,1,0.6920814278600471,0.9044691016116838,-1,1,1,sideways,0.4936307781566687,0.6920814278600471,0.6761732786334662,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.75,0.000700253372949375,1.0310377139218163,-0.0031085403031374526
2016-10-14,640.3779907226562,sideways,0.6644687711643623,1.0496177497834005,0.8675606440587287,2.0471019437988094,2.043360464857104,0.0,7,0.7617299069902408,1,1,0,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.005640795997202,1.0,0.005640795997202,0.005640795997202,1.0446265214458046,1.0446265214458046,-0.0010826096576663,-0.0010826096576663,0.7460894456658009,1,0.6983239964716428,0.9044691016116838,-1,1,1,sideways,0.503603972896335,0.6983239964716428,0.6743891073415771,0.55,MidVol,0.75,0.85,1.0,1.0,Confidence-Based Sizing,0.75,0.75,0.75,0.004230596997901501,1.035399618979057,0.0
2016-10-15,638.64599609375,reversal_zone,0.7784434441220651,1.4063927900374709,0.8852171126392199,2.5285574079118085,2.756751027743022,0.0,7,0.7128593656057283,1,1,1,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,-0.0027046442163818,1.0,-0.0027046442163818,-0.0027046442163818,1.041801178366297,1.041801178366297,-0.003784325800099,-0.003784325800099,0.7075763386724017,1,0.6598108894782435,0.9044691016116838,1,1,1,reversal_zone,0.4017903450119339,0.6598108894782435,0.7011948377255578,0.3,HighVol,0.5,0.65,1.0,1.0,Confidence-Based Sizing,0.5,0.5,0.75,-0.00202848316228635,1.0332993282857204,-0.002028483162286321
2016-10-16,641.6309814453125,reversal_zone,0.8596123017674259,1.4219500170581472,0.8852171126392199,2.5115571331089974,2.727683720816042,0.0,7,0.7129813608543331,1,1,1,2014-10-17,2016-10-05,0.52,0.35,tuned,2,1,1,0,4,False,False,True,False,0,0.0046739279190977,1.0,0.0046739279190977,0.0046739279190977,1.046670481980012,1.046670481980012,0.0,0.0,0.7071112774789388,1,0.6593458282847806,0.9044691016116838,1,1,1,reversal_zone,0.4020445017798605,0.6593458282847806,0.7194906281802411,0.3,HighVol,0.5,0.65,1.0,1.0,Confidence-Based Sizing,0.5,0.5,0.5,0.00233696395954885,1.03571411157535,0.0
