regime,component_type,component_name,regime_row_count,mapped_feature_count,selected_feature_count,selected_support_ratio,stable_feature_share,feature_importance_raw,stability_score_raw,stability_support_raw,predictive_contribution_raw,predictive_consistency_raw,valid_predictive_horizon_count,mapped_features,selected_features,raw_bullish_total,raw_bearish_total,raw_reversal_total,raw_volatility_total,feature_importance_score,stability_score,predictive_contribution_score,predictive_consistency_score,coverage_score,regime_importance_score,confidence_score,bullish_contribution_score,bearish_contribution_score,reversal_contribution_score,volatility_contribution_score,rank,component_global_mean_score,relative_regime_strength,dynamic_weight_recommendation
Bull Market,aspect,sextile,1458,2,1,0.5,0.0,0.01364146240150034,0.0,0.0,0.10729910946897658,0.5369050373439459,6,"aspect_count_sextile, sextile_strength",sextile_strength,627.2636547530788,0.0,0.0,70.79860934822361,0.44003470359453817,0.0,1.0,0.880036542227823,1.0,0.6100086758986345,66.3,0.34043263009690927,0.0,0.0,0.004157301832845074,1,0.46203594627276023,1.3202623752969198,increase in this regime
Bull Market,aspect,conjunction,1458,2,1,0.5,0.0,0.02416653908722628,1.4199883915224003,3.811456874658537,0.02963590640727437,0.5588051178006306,6,"aspect_count_conjunction, conjunction_strength",conjunction_strength,1090.1013653431094,1019.525348800353,1766.011246459132,1106.5350879138348,1.0,1.0,0.0,1.0,1.0,0.6,62.5,0.6,0.6,0.6,0.6,2,0.67,0.8955223880597014,keep near global
Bull Market,aspect,square,1458,2,1,0.5,0.0,0.011590732929599076,0.0,0.0,0.09190532627431627,0.4657840279158843,6,"aspect_count_square, square_strength",square_strength,98.81762083129911,17.63309885631292,151.73993478979185,183.35995793277246,0.3309298133529328,0.0,0.8017879434816745,0.4904524843923814,1.0,0.5133582335568192,57.45,0.027471471900858153,0.00887873606248331,0.04410897441332751,0.05890893110708623,3,0.3738747041864003,1.3730755994149246,increase in this regime
Bull Market,aspect,opposition,1458,2,1,0.5,0.0,0.005370594493358268,0.0,0.0,0.07104466182833152,0.3762488555572131,6,"aspect_count_opposition, opposition_strength",opposition_strength,42.77159183408254,109.89076382118999,128.37221263423237,63.69147161609437,0.0,0.0,0.533183718783251,0.0,1.0,0.33661430157413785,45.83,0.0,0.036282376653650104,0.024468656575114756,0.0,4,0.40685166184180704,0.8273637129815165,keep near global
Bull Market,aspect,trine,1458,2,1,0.5,0.0,0.015629980948747985,0.0,0.0,0.04019682682172665,0.5067077292892577,6,"aspect_count_trine, trine_strength",trine_strength,848.9474431929476,0.0,118.18437496253084,165.0160049295961,0.5458297881308258,0.0,0.13598358035866473,0.7146228353322269,1.0,0.33405170015823915,43.05,0.2571343053398106,0.0,0.022355288771534938,0.03245705501010769,5,0.3735760228093792,0.8942000550412528,keep near global
Bear Market,aspect,conjunction,655,2,1,0.5,0.0,0.02416653908722628,1.4199883915224003,3.811456874658537,0.11338948178210628,0.32707275953387205,6,"aspect_count_conjunction, conjunction_strength",conjunction_strength,491.6757299507116,349.7731570016152,744.2702027294135,549.258328439233,1.0,1.0,1.0,0.3391400970576813,1.0,0.9500000000000001,80.89,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,1,0.67,1.4179104477611941,increase in this regime
Bear Market,aspect,opposition,655,2,1,0.5,0.0,0.005370594493358268,0.0,0.0,0.10980540014612106,0.18811432299842967,6,"aspect_count_opposition, opposition_strength",opposition_strength,15.172441834285705,117.54629557071895,82.93842114335943,50.38517992576469,0.0,0.0,0.9530542356393898,0.0,1.0,0.48356898247378644,56.33,0.0,0.16251030533607538,0.05388694559206715,0.016864943817750968,2,0.40685166184180704,1.1885633704546814,keep near global
Bear Market,aspect,sextile,655,2,1,0.5,0.0,0.01364146240150034,0.0,0.0,0.05135465688876696,0.5165445593160807,6,"aspect_count_sextile, sextile_strength",sextile_strength,350.43615531245814,0.0,0.0,47.398475324372846,0.44003470359453817,0.0,0.1874425397138396,0.8015624311736991,1.0,0.32561356479847836,45.2,0.22909897080611608,0.0,0.0,0.009474664635259715,3,0.46203594627276023,0.7047364332260293,decrease in this regime
Bear Market,aspect,trine,655,2,1,0.5,0.0,0.015629980948747985,0.0,0.0,0.039419040292965155,0.4733876752084376,6,"aspect_count_trine, trine_strength",trine_strength,162.69820846146496,0.0,49.55512941971978,32.35776442258545,0.5458297881308258,0.0,0.031104961189049075,0.6962343184668459,1.0,0.2973441834488736,40.24,0.09205797674308969,0.0,0.019797822671085562,0.0,4,0.3735760228093792,0.7959402244629505,decrease in this regime
Bear Market,aspect,square,655,2,1,0.5,0.0,0.011590732929599076,0.0,0.0,0.037044327223446076,0.5978518849706673,6,"aspect_count_square, square_strength",square_strength,30.91089891601953,33.98802919442978,56.61981442989135,62.785714268401186,0.3309298133529328,0.0,0.0,1.0,1.0,0.2327324533382332,42.5,0.007686934843344554,0.02261499277520204,0.017704952141708717,0.013700065178186456,5,0.3738747041864003,0.622487830099897,decrease in this regime
Sideways,aspect,conjunction,2141,2,1,0.5,0.0,0.02416653908722628,1.4199883915224003,3.811456874658537,0.01907621711232588,0.6262040588744833,6,"aspect_count_conjunction, conjunction_strength",conjunction_strength,1706.343252359398,1306.5843458373859,2605.5571959129725,1750.7150540267037,1.0,1.0,0.0,0.9548841004324085,1.0,0.6,62.05,0.6,0.6,0.6,0.6,1,0.67,0.8955223880597014,keep near global
Sideways,aspect,opposition,2141,2,1,0.5,0.0,0.005370594493358268,0.0,0.0,0.1138331688628483,0.32048348458239806,6,"aspect_count_opposition, opposition_strength",opposition_strength,89.86404700243278,187.46768118337044,250.20344305976147,133.35948630814576,0.0,0.0,1.0,0.0,1.0,0.5,57.5,0.0,0.07173960172591191,0.04801342366466294,0.0,2,0.40685166184180704,1.2289491401768222,increase in this regime
Sideways,aspect,sextile,2141,2,1,0.5,0.0,0.01364146240150034,0.0,0.0,0.05281584264968337,0.3862199167812683,6,"aspect_count_sextile, sextile_strength",sextile_strength,1183.387832088881,0.0,0.0,173.33044229790787,0.44003470359453817,0.0,0.3560649104267062,0.20532041087258718,1.0,0.3846313945479817,43.45,0.260197333213641,0.0,0.0,0.009505692409644273,3,0.46203594627276023,0.8324707149969599,keep near global
Sideways,aspect,trine,2141,2,1,0.5,0.0,0.015629980948747985,0.0,0.0,0.04262025963977089,0.36094481363594144,6,"aspect_count_trine, trine_strength",trine_strength,944.1248079333795,0.0,131.6852478852473,221.17923065809882,0.5458297881308258,0.0,0.24846770703886856,0.12637644648240048,1.0,0.3734211444963105,39.98,0.19734187114066773,0.0,0.018872760135806223,0.020276153307953015,4,0.3735760228093792,0.9995854168800664,keep near global
Sideways,aspect,square,2141,2,1,0.5,0.0,0.011590732929599076,0.0,0.0,0.02544576616146308,0.640648595880872,6,"aspect_count_square, square_strength",square_strength,133.14296125464284,63.19261826321418,215.1071615844427,241.83489522882581,0.3309298133529328,0.0,0.06721986019460659,1.0,1.0,0.25625940440634554,44.18,0.006860978324293084,0.012393920660843617,0.02115602497524678,0.01718721859161736,5,0.3738747041864003,0.6854151980246943,decrease in this regime
High Volatility,aspect,conjunction,1267,2,1,0.5,0.0,0.02416653908722628,1.4199883915224003,3.811456874658537,0.035805851389449535,0.6214639967525016,6,"aspect_count_conjunction, conjunction_strength",conjunction_strength,743.6165626345529,661.8283163006357,1040.9776576516783,669.3676809067856,1.0,1.0,0.0,0.9657697854759281,1.0,0.6,62.16,0.6,0.6,0.6,0.6,1,0.67,0.8955223880597014,keep near global
High Volatility,aspect,square,1267,2,1,0.5,0.0,0.011590732929599076,0.0,0.0,0.06664043393958599,0.6099792799742427,6,"aspect_count_square, square_strength",square_strength,50.31489080967788,41.99318891940077,100.22069839311197,91.73451668897718,0.3309298133529328,0.0,1.0,0.9286169063707781,1.0,0.5827324533382332,66.79,0.0,0.036974534633514314,0.05610288849199405,0.013972347657062742,2,0.3738747041864003,1.558630329394267,increase in this regime
