feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_trend_start_score_sma_30,0.0077040393120065,0.0,0.0077040393120065,0.0077040393120065,1.0,1.0,7704.0393120065,0.1666666666666666,2696.4585074846664,trend_start,30.0,swing,1.0,True,True,False,False,True
astro_bullish_score_smooth_roll_min_21,0.0070008952135726,0.0,0.0070008952135726,0.0070008952135726,1.0,1.0,7000.8952135726,0.1666666666666666,2450.3577917751622,bullish,90.0,macro,2.0,True,True,False,False,True
astro_bullish_score_smooth_roll_max_21,0.0065740361294462,0.0,0.0065740361294462,0.0065740361294462,1.0,1.0,6574.036129446201,0.1666666666666666,2300.956941587289,bullish,90.0,macro,3.0,True,True,False,False,True
astro_volatility_score_sma_60,0.0064831399959155,0.0,0.0064831399959155,0.0064831399959155,1.0,1.0,6483.139995915501,0.1666666666666666,2269.14325849309,volatility,60.0,macro,4.0,True,True,False,False,True
astro_bullish_score_smooth_chg_30,0.0060033208144176,0.0,0.0060033208144176,0.0060033208144176,1.0,1.0,6003.3208144176,0.1666666666666666,2101.2063530411524,bullish,14.0,swing,5.0,True,True,False,False,True
astro_bullish_score_sma_3,0.0059170135790855,0.0,0.0059170135790855,0.0059170135790855,1.0,1.0,5917.0135790855,0.1666666666666666,2070.9987861520235,bullish,7.0,timing,6.0,True,False,False,False,True
astro_momentum_v2_roll_max_30,0.0058287950716905,0.0,0.0058287950716905,0.0058287950716905,1.0,1.0,5828.795071690501,0.1666666666666666,2040.1222732763704,other,90.0,macro,7.0,True,False,False,False,True
astro_trend_start_score_sma_60,0.005787208605324,0.0,0.005787208605324,0.005787208605324,1.0,1.0,5787.208605324001,0.1666666666666666,2025.566993413509,trend_start,60.0,macro,8.0,True,False,False,False,True
pluto_signal,0.0055478641326453,0.0,0.0055478641326453,0.0055478641326453,1.0,1.0,5547.8641326453,0.1666666666666666,1941.7963322381745,pluto,60.0,macro,9.0,True,False,False,False,True
astro_bearish_score_roll_min_10,0.0055358581254824,0.0,0.0055358581254824,0.0055358581254824,1.0,1.0,5535.8581254824,0.1666666666666666,1937.5942249287568,bearish,60.0,macro,10.0,True,False,False,False,True
