feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_trend_start_score_sma_30,0.0079953223042514,0.0,0.0079953223042514,0.0079953223042514,1.0,1.0,7995.3223042514,0.1666666666666666,2798.407671283578,trend_start,30.0,swing,1.0,True,True,False,False,True
astro_bullish_score_smooth_roll_max_21,0.0074226633911939,0.0,0.0074226633911939,0.0074226633911939,1.0,1.0,7422.6633911939,0.1666666666666666,2597.976822649888,bullish,90.0,macro,2.0,True,True,False,False,True
astro_bullish_score_ema_60,0.0072639672963746,0.0,0.0072639672963746,0.0072639672963746,1.0,1.0,7263.9672963746,0.1666666666666666,2542.433125984695,bullish,90.0,macro,3.0,True,True,False,False,True
astro_bullish_score_smooth_roll_min_21,0.0070792305964849,0.0,0.0070792305964849,0.0070792305964849,1.0,1.0,7079.2305964849,0.1666666666666666,2477.77520712862,bullish,90.0,macro,4.0,True,True,False,False,True
astro_compression_score_roll_min_30,0.0067167720592906,0.0,0.0067167720592906,0.0067167720592906,1.0,1.0,6716.772059290601,0.1666666666666666,2350.9145741272,compression,90.0,macro,5.0,True,True,False,False,True
astro_volatility_score_roll_max_21,0.0064205304084722,0.0,0.0064205304084722,0.0064205304084722,1.0,1.0,6420.5304084722,0.1666666666666666,2247.2298778440995,volatility,30.0,swing,6.0,True,True,False,False,True
astro_bullish_score_smooth_ema_60,0.0062750084049243,0.0,0.0062750084049243,0.0062750084049243,1.0,1.0,6275.0084049243005,0.1666666666666666,2196.2971183935333,bullish,90.0,macro,7.0,True,True,False,False,True
astro_trend_start_score_roll_min_21,0.0058056823734562,0.0,0.0058056823734562,0.0058056823734562,1.0,1.0,5805.6823734562,0.1666666666666666,2032.0328196492865,trend_start,60.0,macro,8.0,True,False,False,False,True
astro_bearish_score_roll_min_10,0.0056617263066116,0.0,0.0056617263066116,0.0056617263066116,1.0,1.0,5661.726306611601,0.1666666666666666,1981.6481386712496,bearish,60.0,macro,9.0,True,False,False,False,True
astro_momentum_v2_sma_60,0.0056480642576219,0.0,0.0056480642576219,0.0056480642576219,1.0,1.0,5648.0642576219,0.1666666666666666,1976.8664160600345,other,30.0,swing,10.0,True,False,False,False,True
astro_momentum_v2_smooth_roll_max_30,0.0054082464200783,0.0,0.0054082464200783,0.0054082464200783,1.0,1.0,5408.2464200783,0.1666666666666666,1892.93007699264,other,60.0,macro,11.0,True,False,False,False,True
planet_trend_start_Jupiter,0.0054044758906307,0.0,0.0054044758906307,0.0054044758906307,1.0,1.0,5404.475890630701,0.1666666666666666,1891.610390177768,jupiter,14.0,swing,12.0,True,False,False,False,True
btc_return_14d,0.0054001639973776,0.0,0.0054001639973776,0.0054001639973776,1.0,1.0,5400.1639973776,0.1666666666666666,1890.1012258144256,other,3.0,timing,13.0,True,False,False,False,True
jupiter_signal,0.0053738787269822,0.0,0.0053738787269822,0.0053738787269822,1.0,1.0,5373.8787269822,0.1666666666666666,1880.9013706619276,jupiter,14.0,swing,14.0,True,False,False,False,True
astro_bearish_score_smooth_chg_21,0.0053196272872028,0.0,0.0053196272872028,0.0053196272872028,1.0,1.0,5319.6272872028,0.1666666666666666,1861.9133450385616,bearish,30.0,swing,15.0,True,False,False,False,True
astro_compression_score_ema_21,0.0052853216239577,0.0,0.0052853216239577,0.0052853216239577,1.0,1.0,5285.3216239577,0.1666666666666666,1849.906349180511,compression,14.0,swing,16.0,True,False,False,False,True
astro_bullish_score_chg_30,0.0052706197334943,0.0,0.0052706197334943,0.0052706197334943,1.0,1.0,5270.6197334943,0.1666666666666666,1844.7606816375649,bullish,14.0,swing,17.0,True,False,False,False,True
astro_trend_end_score_chg_30,0.0052555584909877,0.0,0.0052555584909877,0.0052555584909877,1.0,1.0,5255.5584909877,0.1666666666666666,1839.489240735758,trend_end,30.0,swing,18.0,True,False,False,False,True
astro_bullish_score_sma_3,0.0051569721708102,0.0,0.0051569721708102,0.0051569721708102,1.0,1.0,5156.972170810201,0.1666666666666666,1804.983989239105,bullish,7.0,timing,19.0,True,False,False,False,True
astro_bullish_score_ema_30,0.0051327929157632,0.0,0.0051327929157632,0.0051327929157632,1.0,1.0,5132.792915763201,0.1666666666666666,1796.5212403009532,bullish,90.0,macro,20.0,True,False,False,False,True
astro_bullish_score_smooth_sma_30,0.0050984041569044,0.0,0.0050984041569044,0.0050984041569044,1.0,1.0,5098.4041569044,0.1666666666666666,1784.4851609448694,bullish,90.0,macro,21.0,True,False,False,False,True
astro_bearish_score_roll_min_21,0.0050911878340472,0.0,0.0050911878340472,0.0050911878340472,1.0,1.0,5091.1878340472,0.1666666666666666,1781.9594450583204,bearish,60.0,macro,22.0,True,False,False,False,True
astro_bearish_score_smooth_roll_max_30,0.0050514559934672,0.0,0.0050514559934672,0.0050514559934672,1.0,1.0,5051.4559934672,0.1666666666666666,1768.0532849625838,bearish,90.0,macro,23.0,True,False,False,False,True
astro_compression_score_roll_min_21,0.0050263980403748,0.0,0.0050263980403748,0.0050263980403748,1.0,1.0,5026.398040374801,0.1666666666666666,1759.282991357063,compression,90.0,macro,24.0,True,False,False,False,True
astro_bullish_score_smooth_roll_min_10,0.0049723877073969,0.0,0.0049723877073969,0.0049723877073969,1.0,1.0,4972.3877073969,0.1666666666666666,1740.3793532106645,bullish,90.0,macro,25.0,True,False,False,False,True
astro_bullish_score_smooth_roll_max_5,0.0048956095610602,0.0,0.0048956095610602,0.0048956095610602,1.0,1.0,4895.6095610602,0.1666666666666666,1713.506971281561,bullish,3.0,timing,26.0,True,False,False,False,True
astro_bearish_score_smooth_ema_30,0.0048291314396848,0.0,0.0048291314396848,0.0048291314396848,1.0,1.0,4829.1314396848,0.1666666666666666,1690.2396022089226,bearish,60.0,macro,27.0,True,False,False,False,True
astro_trend_start_score_sma_60,0.0048220359224962,0.0,0.0048220359224962,0.0048220359224962,1.0,1.0,4822.0359224962,0.1666666666666666,1687.7561683547058,trend_start,60.0,macro,28.0,True,False,False,False,True
astro_bullish_score_smooth_ema_21,0.0048140651237108,0.0,0.0048140651237108,0.0048140651237108,1.0,1.0,4814.0651237108,0.1666666666666666,1684.966385591496,bullish,90.0,macro,29.0,True,False,False,False,True
astro_bullish_score_roll_min_3,0.0047858156569882,0.0,0.0047858156569882,0.0047858156569882,1.0,1.0,4785.815656988199,0.1666666666666666,1675.079060938799,bullish,7.0,timing,30.0,True,False,False,False,True
astro_bearish_score_chg_21,0.0047491395353183,0.0,0.0047491395353183,0.0047491395353183,1.0,1.0,4749.139535318301,0.1666666666666666,1662.242403683886,bearish,30.0,swing,31.0,True,False,False,False,True
house_activation_strength,0.0047346430901366,0.0,0.0047346430901366,0.0047346430901366,1.0,1.0,4734.6430901366,0.1666666666666666,1657.1686420717128,house_position,60.0,macro,32.0,True,False,False,False,True
astro_momentum_v2_smooth_roll_max_21,0.0047287401282316,0.0,0.0047287401282316,0.0047287401282316,1.0,1.0,4728.7401282316005,0.1666666666666666,1655.102603043778,other,14.0,swing,33.0,True,False,False,False,True
astro_trend_start_score_chg_21,0.0047097428260832,0.0,0.0047097428260832,0.0047097428260832,1.0,1.0,4709.7428260832,0.1666666666666666,1648.4535396929173,trend_start,14.0,swing,34.0,True,False,False,False,True
astro_momentum_v2_roll_min_30,0.0046885099804277,0.0,0.0046885099804277,0.0046885099804277,1.0,1.0,4688.509980427701,0.1666666666666666,1641.0220352203542,other,60.0,macro,35.0,True,False,False,False,True
astro_reversal_score_roll_max_21,0.0046098564213111,0.0,0.0046098564213111,0.0046098564213111,1.0,1.0,4609.856421311099,0.1666666666666666,1613.49325806812,reversal,14.0,swing,36.0,False,False,False,False,True
