feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_compression_score_roll_min_30,0.0076418366227567,0.0,0.0076418366227567,0.0076418366227567,1,1,7641.8366227567,0.1666666666666666,2674.6875413661605,compression,90,macro,1,True,True,False,False,True
astro_bullish_score_smooth_roll_max_21,0.0074900597736429,0.0,0.0074900597736429,0.0074900597736429,1,1,7490.059773642901,0.1666666666666666,2621.565583465591,bullish,90,macro,2,True,True,False,False,True
astro_trend_end_score_roll_max_30,0.0072967060119795,0.0,0.0072967060119795,0.0072967060119795,1,1,7296.7060119795005,0.1666666666666666,2553.8916895418965,trend_end,90,macro,3,True,True,False,False,True
astro_bullish_score_roll_max_21,0.0069185721317759,0.0,0.0069185721317759,0.0069185721317759,1,1,6918.5721317759,0.1666666666666666,2421.544680217084,bullish,90,macro,4,True,True,False,False,True
astro_trend_start_score_roll_min_21,0.0067820086770953,0.0,0.0067820086770953,0.0067820086770953,1,1,6782.0086770953,0.1666666666666666,2373.7474164534924,trend_start,60,macro,5,True,True,False,False,True
astro_bullish_score_roll_min_21,0.0065956719361259,0.0,0.0065956719361259,0.0065956719361259,1,1,6595.6719361259,0.1666666666666666,2308.529482579506,bullish,90,macro,6,True,True,False,False,True
astro_bearish_score_roll_min_21,0.0064350176013684,0.0,0.0064350176013684,0.0064350176013684,1,1,6435.0176013684,0.1666666666666666,2252.300401152647,bearish,60,macro,7,True,True,False,False,True
astro_volatility_score_roll_max_21,0.0060869702128887,0.0,0.0060869702128887,0.0060869702128887,1,1,6086.9702128887,0.1666666666666666,2130.483675965797,volatility,30,swing,8,True,False,False,False,True
astro_momentum_v2_sma_60,0.0059554635022259,0.0,0.0059554635022259,0.0059554635022259,1,1,5955.4635022259,0.1666666666666666,2084.4562746311326,other,30,swing,9,True,False,False,False,True
astro_bullish_score_smooth_sma_30,0.0058751307140862,0.0,0.0058751307140862,0.0058751307140862,1,1,5875.1307140862,0.1666666666666666,2056.339766649122,bullish,90,macro,10,True,False,False,False,True
astro_bearish_score_smooth_roll_max_30,0.005748709806876,0.0,0.005748709806876,0.005748709806876,1,1,5748.709806876001,0.1666666666666666,2012.0923985571897,bearish,90,macro,11,True,False,False,False,True
astro_reversal_score_roll_max_21,0.0056891663343633,0.0,0.0056891663343633,0.0056891663343633,1,1,5689.1663343633,0.1666666666666666,1991.2521593603556,reversal,14,swing,12,True,False,False,False,True
