feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_trend_start_score_sma_30,0.0081437553285384,0.0,0.0081437553285384,0.0081437553285384,1.0,1.0,8143.755328538401,0.1666666666666666,2850.359289157238,trend_start,30.0,swing,1.0,True,True,False,False,True
astro_bullish_score_smooth_roll_max_21,0.0079088367357305,0.0,0.0079088367357305,0.0079088367357305,1.0,1.0,7908.836735730501,0.1666666666666666,2768.137687707036,bullish,90.0,macro,2.0,True,True,False,False,True
astro_bullish_score_ema_60,0.0070881926016585,0.0,0.0070881926016585,0.0070881926016585,1.0,1.0,7088.1926016585,0.1666666666666666,2480.911912524182,bullish,90.0,macro,3.0,True,True,False,False,True
astro_bullish_score_smooth_roll_min_21,0.0067457887329278,0.0,0.0067457887329278,0.0067457887329278,1.0,1.0,6745.7887329278,0.1666666666666666,2361.070421506889,bullish,90.0,macro,4.0,True,True,False,False,True
astro_compression_score_roll_min_30,0.0065676716678744,0.0,0.0065676716678744,0.0065676716678744,1.0,1.0,6567.6716678744,0.1666666666666666,2298.7293774913733,compression,90.0,macro,5.0,True,True,False,False,True
astro_bullish_score_smooth_ema_60,0.0062655773189334,0.0,0.0062655773189334,0.0062655773189334,1.0,1.0,6265.5773189334,0.1666666666666666,2192.9962345242843,bullish,90.0,macro,6.0,True,True,False,False,True
astro_bullish_score_sma_3,0.0059906921351239,0.0,0.0059906921351239,0.0059906921351239,1.0,1.0,5990.6921351239,0.1666666666666666,2096.7863102368856,bullish,7.0,timing,7.0,True,False,False,False,True
astro_trend_end_score_chg_30,0.0057772391950621,0.0,0.0057772391950621,0.0057772391950621,1.0,1.0,5777.2391950621,0.1666666666666666,2022.07769583408,trend_end,30.0,swing,8.0,True,False,False,False,True
jupiter_signal,0.0057711277567271,0.0,0.0057711277567271,0.0057711277567271,1.0,1.0,5771.127756727101,0.1666666666666666,2019.9386899722545,jupiter,14.0,swing,9.0,True,False,False,False,True
astro_bearish_score_roll_min_10,0.0056433582373831,0.0,0.0056433582373831,0.0056433582373831,1.0,1.0,5643.3582373831005,0.1666666666666666,1975.2193070940468,bearish,60.0,macro,10.0,True,False,False,False,True
mc_target_strength,0.0055520307638173,0.0,0.0055520307638173,0.0055520307638173,1.0,1.0,5552.0307638173,0.1666666666666666,1943.2546548150272,mc,60.0,macro,11.0,True,False,False,False,True
astro_bullish_score,0.0054478660581301,0.0,0.0054478660581301,0.0054478660581301,1.0,1.0,5447.8660581301,0.1666666666666666,1906.7969661586249,bullish,7.0,timing,12.0,True,False,False,False,True
planet_trend_start_Jupiter,0.0054162958404285,0.0,0.0054162958404285,0.0054162958404285,1.0,1.0,5416.2958404285,0.1666666666666666,1895.747377334978,jupiter,14.0,swing,13.0,True,False,False,False,True
astro_compression_score_ema_21,0.0053712120579008,0.0,0.0053712120579008,0.0053712120579008,1.0,1.0,5371.2120579008,0.1666666666666666,1879.9680354167697,compression,14.0,swing,14.0,True,False,False,False,True
astro_trend_start_score_chg_21,0.005316661503629,0.0,0.005316661503629,0.005316661503629,1.0,1.0,5316.661503629,0.1666666666666666,1860.8753196014184,trend_start,14.0,swing,15.0,True,False,False,False,True
astro_bullish_score_chg_30,0.0052662946517122,0.0,0.0052662946517122,0.0052662946517122,1.0,1.0,5266.2946517122,0.1666666666666666,1843.2469012837971,bullish,14.0,swing,16.0,True,False,False,False,True
astro_compression_score_roll_min_21,0.005152038231791,0.0,0.005152038231791,0.005152038231791,1.0,1.0,5152.038231791,0.1666666666666666,1803.2571086088087,compression,90.0,macro,17.0,True,False,False,False,True
astro_reversal_score_sma_30,0.0050843059240145,0.0,0.0050843059240145,0.0050843059240145,1.0,1.0,5084.3059240145,0.1666666666666666,1779.5507737941114,reversal,7.0,timing,18.0,True,False,False,False,True
bullish,0.0050425659320404,0.0,0.0050425659320404,0.0050425659320404,1.0,1.0,5042.5659320404,0.1666666666666666,1764.9417599071796,bullish,7.0,timing,19.0,True,False,False,False,True
