taxonomy_v3,year,sample_count,average_forward_return_30d,win_rate_30d
Constructive Drift,2019,106,0.20423801073104544,0.8584905660377359
Constructive Drift,2020,156,0.20400900417064474,0.7692307692307693
Constructive Drift,2021,122,0.13572645040315273,0.6967213114754098
Constructive Drift,2022,148,-0.06455195379199759,0.28378378378378377
Constructive Drift,2023,57,0.14728129524284095,0.9122807017543859
Constructive Drift,2024,131,0.13656058735953142,0.8778625954198473
Constructive Drift,2025,256,0.003437785140534874,0.5078125
Constructive Drift,2026,84,-0.04718595962342389,0.4642857142857143
Defensive / Weak Trend,2020,7,0.16926081539823443,1.0
Defensive / Weak Trend,2022,9,0.3494870414311121,1.0
Defensive / Weak Trend,2023,43,0.09750337392431903,0.7674418604651163
Defensive / Weak Trend,2024,11,0.0916745619032301,1.0
High Momentum Expansion,2024,138,0.10696742611890693,0.6376811594202898
High Volatility Risk,2019,212,0.017176928772228258,0.4858490566037736
High Volatility Risk,2020,55,-0.049030593566142096,0.36363636363636365
High Volatility Risk,2021,59,-0.05689961140070146,0.1694915254237288
High Volatility Risk,2022,37,-0.02408724170816573,0.35135135135135137
High Volatility Risk,2023,234,0.04355331685523511,0.5726495726495726
High Volatility Risk,2024,38,-0.008924535951051473,0.34210526315789475
High Volatility Risk,2025,10,0.13546688791561787,1.0
Tactical Neutral,2019,47,0.14802922820380726,0.7446808510638298
Tactical Neutral,2020,148,0.17869024595943445,0.7364864864864865
Tactical Neutral,2021,184,0.008124245287628536,0.40217391304347827
Tactical Neutral,2022,171,-0.051428643071354814,0.4853801169590643
Tactical Neutral,2023,31,0.12222540797479285,0.4838709677419355
Tactical Neutral,2024,48,-0.05615068629122453,0.16666666666666666
Tactical Neutral,2025,99,-0.03176625554728148,0.29292929292929293
Tactical Neutral,2026,36,0.022197866330838787,0.6666666666666666
