from_taxonomy,to_taxonomy,focus_transition,transition_count,average_return_7d,average_return_14d,average_return_30d,win_rate,sample_count
High Volatility Risk,Constructive Drift,True,18,0.05397933796223757,0.12002045028420409,0.2112294655224953,0.9444444444444444,18
Defensive / Weak Trend,Constructive Drift,True,4,0.0512609413779231,0.12312299532216243,0.276331269802211,1.0,4
High Momentum Expansion,Tactical Neutral,True,1,0.016159270462202,-0.066198035507821,0.015555775682958,1.0,1
Constructive Drift,High Momentum Expansion,True,1,-0.0260703223110362,-0.0528222750721635,-0.0302466852211755,0.0,1
Tactical Neutral,High Momentum Expansion,True,1,0.0276779264448336,-0.0900393695271453,-0.1642436707530647,0.0,1
Tactical Neutral,Constructive Drift,False,25,0.019062591360552564,0.029767546864453136,0.04142968126446022,0.52,25
Constructive Drift,Tactical Neutral,False,24,0.013529180012432716,0.032712636774486485,0.04447139193321284,0.5,24
Constructive Drift,High Volatility Risk,False,18,0.02649916495438779,0.01624813350759908,0.1276685836824183,0.6111111111111112,18
Tactical Neutral,High Volatility Risk,False,6,0.03033212508393378,0.05874114044608105,0.12405429919670839,0.5,6
High Volatility Risk,Tactical Neutral,False,6,-0.04986564900651457,-0.02458097327005726,0.05144146587584336,0.3333333333333333,6
Constructive Drift,Defensive / Weak Trend,False,4,0.010760670701632901,0.016618716130341424,0.08322263097208417,1.0,4
High Momentum Expansion,Constructive Drift,False,1,-0.0518952500399189,-0.0594359327149365,-0.0231380625895244,0.0,1
